objectid,loc,district,idesigdate1,idesigdate2,ddesigdate,intdesigdate
6011,1600-18 Arch St,,9/7/1978,,,
6012,1600-18 Arch St,,9/7/1978,,,
6013,1600-18 Arch St,,9/7/1978,,,
6466,1714 Locust St,RF,,,2/8/1995,
6467,2506 S 18th St,GE,,,11/10/1999,
6468,1816 Diamond St,DS,,,1/29/1986,
6469,334-40 S 22nd St,RF,,,2/8/1995,
6470,1816 W Girard Ave,,5/28/1968,,,
6471,6407 Overbrook Ave,OF,,,1/1/3000,
6472,1620 Spruce St,RF,,,2/8/1995,
6473,1526 Diamond St,DS,,,1/29/1986,
6474,270 S 20th St,RF,,,2/8/1995,
6475,744-46 S 10th St,,10/26/1971,,,
6476,253 Pine St,SH,4/30/1957,,3/10/1999,
6477,253 Pine St,SH,4/30/1957,,3/10/1999,
6478,253 Pine St,SH,4/30/1957,,3/10/1999,
6479,1614 Wallace St,SG,,,10/11/2000,
6480,4163 Main St,MAN,,,12/14/1983,
6481,1520 North St,SG,,,10/11/2000,
6482,2046 Rittenhouse Sq,RF,,,2/8/1995,
6483,23 S 21st St,RF,,,2/8/1995,
6485,3409 Midvale Ave,TEF,,,10/9/2009,
6486,632 Pine St,SH,,,3/10/1999,
6487,632 Pine St,SH,,,3/10/1999,
6488,632 Pine St,SH,,,3/10/1999,
6489,435 Spruce St,SH,,,3/10/1999,
6490,324 S Camac St,,2/28/1961,,,
6491,3600-02 Baring St,,3/26/1963,,,
6492,335 Queen St,,3/25/1969,,,
6493,304 S Fawn St,,2/28/1961,,,
6494,8 Willings Alley Mews,SH,,,3/10/1999,
6495,328 S Juniper St,,3/28/1961,,,
6496,2008 Pine St,RF,,,2/8/1995,
6497,635 Spruce St,SH,,,3/10/1999,
6498,1122 Locust St,,11/24/1959,,,
6852,327 S 18th St,RF,,,2/8/1995,
6853,264 W Walnut Ln,,5/7/1973,,,
6854,2008 Mount Vernon St,SG,11/6/1975,,10/11/2000,
6855,106 Bainbridge St,,1/25/1960,,,
6856,146 N 2nd St,OC,12/31/1984,,12/12/2003,
6857,227 S 42nd St,,5/25/1965,,,
6858,50-54 E Haines St,,11/29/1966,,,
6859,2521 S 20th St,GE,,,11/10/1999,
6860,102 Pensdale St,MAN,,,12/14/1983,
6861,6404 Germantown Ave,,4/6/1972,,,
6862,306 S Smedley St,RF,5/27/1969,,2/8/1995,
6863,2023 Delancey Pl,RF,1/6/1972,,2/8/1995,
6864,2521 S 19th St,GE,,,11/10/1999,
6865,513 Pine St,SH,12/31/1984,,3/10/1999,
6866,1642 FITZWATER ST,,1/1/2000,,,
6867,6391 Drexel Rd,OF,,,1/1/3000,
6868,2032 Mount Vernon St,SG,11/6/1975,,10/11/2000,
6869,5939 Drexel Rd,OF,,,1/1/3000,
6870,2016 Green St,SG,5/1/1975,,10/11/2000,
6871,1730 Pine St,RF,,,2/8/1995,
6872,1730 Pine St,RF,,,2/8/1995,
6878,323 Gaskill St,SH,1/22/1963,,3/10/1999,
6879,1315-17 S 52nd St,,4/30/1986,,,
6880,527 S 41st St,,1/26/1971,23-Feb-71,,
6881,4620 Hazel Ave,,12/2/1976,,,
6882,2128 Wallace St,SG,2/7/1974,,10/11/2000,
6883,2401-25 N 8th St,,9/12/1974,,,
5507,1625 Diamond St,DS,3/7/1974,,1/29/1986,
5508,2211 Rittenhouse Sq,RF,,,2/8/1995,
5509,2313 S 21st St,GE,,,11/10/1999,
5510,410 S Iseminger St,,2/28/1961,,,
5511,928 S 2nd St,,5/31/1966,,,
5512,2054 Locust St,RF,,,2/8/1995,
5513,2109 Spruce St,RF,,,2/8/1995,
5514,220-22 Spruce St,SH,4/30/1957,,3/10/1999,
5515,208R Carpenter St,,7/28/1964,,,
5516,5535 Ridge Ave,,4/6/1972,,,
5517,2039 Brandywine St,SG,5/1/1975,,10/11/2000,
5518,238 S Hutchinson St,,1/31/1961,,,
5519,308 Cypress St,SH,4/30/1957,,3/10/1999,
5520,1923 Manning St,RF,,,2/8/1995,
5521,1640 Waverly St,RF,,,2/8/1995,
5522,116 Catharine St,,6/24/1958,31-May-66,,
5523,249 S Van Pelt St,RF,,,2/8/1995,
5524,1424 Diamond St,DS,,,1/29/1986,
5525,28 S 2nd St,OC,10/7/1976,,12/12/2003,
5526,261 S 4th St,SH,4/30/1957,,3/10/1999,
5527,130-32 Delancey St,SH,4/30/1957,,3/10/1999,
5528,2416 S 21st St,GE,,,11/10/1999,
5529,1816 Pine St,RF,,,2/8/1995,
5530,1716 Pine St,RF,,,2/8/1995,
5531,1716 Pine St,RF,,,2/8/1995,
5532,1716 Pine St,RF,,,2/8/1995,
5533,1716 Pine St,RF,,,2/8/1995,
5534,1716 Pine St,RF,,,2/8/1995,
5535,1716 Pine St,RF,,,2/8/1995,
5536,1716 Pine St,RF,,,2/8/1995,
5537,311 N Randolph St,OC,,,12/12/2003,
5538,424 E Wister St,,9/26/1967,,,
5539,2046 Latimer St,RF,,,2/8/1995,
4545,1701-15 Locust St,RF,,,2/8/1995,
4546,1701-15 Locust St,RF,,,2/8/1995,
4547,1701-15 Locust St,RF,,,2/8/1995,
4548,1701-15 Locust St,RF,,,2/8/1995,
4549,1701-15 Locust St,RF,,,2/8/1995,
4550,1701-15 Locust St,RF,,,2/8/1995,
4551,1701-15 Locust St,RF,,,2/8/1995,
4552,1701-15 Locust St,RF,,,2/8/1995,
4553,1701-15 Locust St,RF,,,2/8/1995,
4554,1701-15 Locust St,RF,,,2/8/1995,
4555,1701-15 Locust St,RF,,,2/8/1995,
4556,1701-15 Locust St,RF,,,2/8/1995,
4557,1701-15 Locust St,RF,,,2/8/1995,
4558,1701-15 Locust St,RF,,,2/8/1995,
4559,1701-15 Locust St,RF,,,2/8/1995,
4560,1701-15 Locust St,RF,,,2/8/1995,
4561,1701-15 Locust St,RF,,,2/8/1995,
4562,1701-15 Locust St,RF,,,2/8/1995,
4563,1701-15 Locust St,RF,,,2/8/1995,
4564,1701-15 Locust St,RF,,,2/8/1995,
4565,1701-15 Locust St,RF,,,2/8/1995,
4566,1701-15 Locust St,RF,,,2/8/1995,
3622,2239 Wallace St,SG,2/7/1974,,10/11/2000,
4567,1701-15 Locust St,RF,,,2/8/1995,
4568,1701-15 Locust St,RF,,,2/8/1995,
4569,1701-15 Locust St,RF,,,2/8/1995,
4570,1701-15 Locust St,RF,,,2/8/1995,
4571,1701-15 Locust St,RF,,,2/8/1995,
4572,1701-15 Locust St,RF,,,2/8/1995,
4954,2101-17 Chestnut St,RF,,,2/8/1995,
4955,2101-17 Chestnut St,RF,,,2/8/1995,
4956,2101-17 Chestnut St,RF,,,2/8/1995,
4957,2101-17 Chestnut St,RF,,,2/8/1995,
4958,2101-17 Chestnut St,RF,,,2/8/1995,
4959,2101-17 Chestnut St,RF,,,2/8/1995,
4960,2101-17 Chestnut St,RF,,,2/8/1995,
4961,2101-17 Chestnut St,RF,,,2/8/1995,
4962,2101-17 Chestnut St,RF,,,2/8/1995,
4963,2101-17 Chestnut St,RF,,,2/8/1995,
4964,2101-17 Chestnut St,RF,,,2/8/1995,
4965,2101-17 Chestnut St,RF,,,2/8/1995,
4966,2101-17 Chestnut St,RF,,,2/8/1995,
4967,2101-17 Chestnut St,RF,,,2/8/1995,
4968,2101-17 Chestnut St,RF,,,2/8/1995,
4969,2101-17 Chestnut St,RF,,,2/8/1995,
4970,2101-17 Chestnut St,RF,,,2/8/1995,
4971,2101-17 Chestnut St,RF,,,2/8/1995,
4972,2101-17 Chestnut St,RF,,,2/8/1995,
4973,2101-17 Chestnut St,RF,,,2/8/1995,
4974,2101-17 Chestnut St,RF,,,2/8/1995,
4975,2101-17 Chestnut St,RF,,,2/8/1995,
4976,2101-17 Chestnut St,RF,,,2/8/1995,
4977,2101-17 Chestnut St,RF,,,2/8/1995,
4978,2101-17 Chestnut St,RF,,,2/8/1995,
4979,2101-17 Chestnut St,RF,,,2/8/1995,
4980,2101-17 Chestnut St,RF,,,2/8/1995,
4981,2101-17 Chestnut St,RF,,,2/8/1995,
4982,2101-17 Chestnut St,RF,,,2/8/1995,
4983,2101-17 Chestnut St,RF,,,2/8/1995,
4984,2101-17 Chestnut St,RF,,,2/8/1995,
4985,2101-17 Chestnut St,RF,,,2/8/1995,
3593,202 N 9th St,,4/25/1974,,,
3594,115 N 3rd St,OC,12/31/1984,,12/12/2003,
3595,249 S 23rd St,RF,,,2/8/1995,
3596,2032 Locust St,RF,,,2/8/1995,
3597,318-22 S 19th St,RF,6/3/1982,,2/8/1995,
3598,1819 Pine St,RF,,,2/8/1995,
3599,513 S Juniper St,,2/21/1972,,,
3600,125 Kenilworth St,,6/24/1958,,,
3601,2103 Wallace St,SG,2/7/1974,,10/11/2000,
3602,4432 Ridge Ave,,9/25/1962,,,
3603,515 Addison Ct,SH,,,3/10/1999,
3604,3-05 Strawberry St,OC,11/4/1976,,12/12/2003,
3605,2018 Spring Garden St,SG,5/1/1975,,10/11/2000,
3606,1922 Wallace St,SG,11/6/1975,,10/11/2000,
3607,933 E Moyamensing Ave,,5/31/1966,,,
3608,6260 City Ave,OF,1/3/1985,,1/1/3000,
3609,1702 North St,SG,,,10/11/2000,
3610,832 S Front St,,6/24/1958,,,
3611,2108 Diamond St,DS,,,1/29/1986,
3612,2219 Locust St,RF,,,2/8/1995,
3613,1504 Pine St,RF,9/28/1971,,2/8/1995,
3614,1207 Rodman St,,5/14/1968,,,
3615,222 Quince St,,2/28/1961,,,
3616,2025 Green St,SG,,,10/11/2000,
3617,1932 Brandywine St,SG,,,10/11/2000,
3618,2107 Green St,SG,5/1/1975,,10/11/2000,
3619,20 E Logan St,EL,,,11/12/2010,
3620,50 N 3rd St,OC,,,12/12/2003,
3621,335 S 18th St,RF,,,2/8/1995,
3623,530 N 19th St,SG,,,10/11/2000,
3624,1227R Pine St,,11/28/1961,,,
3625,1229 Pine St,,11/28/1961,,,
4063,2018-32 Walnut St,RF,,,2/8/1995,
4064,2018-32 Walnut St,RF,,,2/8/1995,
4065,2018-32 Walnut St,RF,,,2/8/1995,
4066,2018-32 Walnut St,RF,,,2/8/1995,
4067,2018-32 Walnut St,RF,,,2/8/1995,
4068,2018-32 Walnut St,RF,,,2/8/1995,
4069,2018-32 Walnut St,RF,,,2/8/1995,
4070,2018-32 Walnut St,RF,,,2/8/1995,
4071,2018-32 Walnut St,RF,,,2/8/1995,
4072,2018-32 Walnut St,RF,,,2/8/1995,
4073,2018-32 Walnut St,RF,,,2/8/1995,
4074,2018-32 Walnut St,RF,,,2/8/1995,
4075,2018-32 Walnut St,RF,,,2/8/1995,
4076,2018-32 Walnut St,RF,,,2/8/1995,
4077,2018-32 Walnut St,RF,,,2/8/1995,
4078,2018-32 Walnut St,RF,,,2/8/1995,
4079,2018-32 Walnut St,RF,,,2/8/1995,
4080,2018-32 Walnut St,RF,,,2/8/1995,
4081,2018-32 Walnut St,RF,,,2/8/1995,
4082,2018-32 Walnut St,RF,,,2/8/1995,
4083,2018-32 Walnut St,RF,,,2/8/1995,
4084,2018-32 Walnut St,RF,,,2/8/1995,
4085,2018-32 Walnut St,RF,,,2/8/1995,
4086,2018-32 Walnut St,RF,,,2/8/1995,
4087,2018-32 Walnut St,RF,,,2/8/1995,
4088,2018-32 Walnut St,RF,,,2/8/1995,
4089,2018-32 Walnut St,RF,,,2/8/1995,
4090,2018-32 Walnut St,RF,,,2/8/1995,
4091,2018-32 Walnut St,RF,,,2/8/1995,
4986,2101-17 Chestnut St,RF,,,2/8/1995,
4987,2101-17 Chestnut St,RF,,,2/8/1995,
4988,2101-17 Chestnut St,RF,,,2/8/1995,
4989,2101-17 Chestnut St,RF,,,2/8/1995,
4990,2101-17 Chestnut St,RF,,,2/8/1995,
4991,2101-17 Chestnut St,RF,,,2/8/1995,
4992,2101-17 Chestnut St,RF,,,2/8/1995,
4993,2101-17 Chestnut St,RF,,,2/8/1995,
4994,2101-17 Chestnut St,RF,,,2/8/1995,
4995,2101-17 Chestnut St,RF,,,2/8/1995,
4996,2101-17 Chestnut St,RF,,,2/8/1995,
4997,2101-17 Chestnut St,RF,,,2/8/1995,
4998,2101-17 Chestnut St,RF,,,2/8/1995,
4999,2101-17 Chestnut St,RF,,,2/8/1995,
5000,2101-17 Chestnut St,RF,,,2/8/1995,
5001,2101-17 Chestnut St,RF,,,2/8/1995,
5002,2101-17 Chestnut St,RF,,,2/8/1995,
5003,2101-17 Chestnut St,RF,,,2/8/1995,
5004,2101-17 Chestnut St,RF,,,2/8/1995,
5005,2101-17 Chestnut St,RF,,,2/8/1995,
5006,2101-17 Chestnut St,RF,,,2/8/1995,
5007,2101-17 Chestnut St,RF,,,2/8/1995,
5008,2101-17 Chestnut St,RF,,,2/8/1995,
5009,2101-17 Chestnut St,RF,,,2/8/1995,
5010,2101-17 Chestnut St,RF,,,2/8/1995,
5011,2101-17 Chestnut St,RF,,,2/8/1995,
5012,2101-17 Chestnut St,RF,,,2/8/1995,
5013,2101-17 Chestnut St,RF,,,2/8/1995,
5014,2101-17 Chestnut St,RF,,,2/8/1995,
5015,2101-17 Chestnut St,RF,,,2/8/1995,
5016,2101-17 Chestnut St,RF,,,2/8/1995,
5017,2101-17 Chestnut St,RF,,,2/8/1995,
5018,2101-17 Chestnut St,RF,,,2/8/1995,
5019,2101-17 Chestnut St,RF,,,2/8/1995,
5020,2101-17 Chestnut St,RF,,,2/8/1995,
5021,2101-17 Chestnut St,RF,,,2/8/1995,
5022,2101-17 Chestnut St,RF,,,2/8/1995,
5023,2101-17 Chestnut St,RF,,,2/8/1995,
5024,2101-17 Chestnut St,RF,,,2/8/1995,
5025,2101-17 Chestnut St,RF,,,2/8/1995,
5026,2101-17 Chestnut St,RF,,,2/8/1995,
5027,2101-17 Chestnut St,RF,,,2/8/1995,
5028,2101-17 Chestnut St,RF,,,2/8/1995,
5029,2101-17 Chestnut St,RF,,,2/8/1995,
5030,2101-17 Chestnut St,RF,,,2/8/1995,
5031,2101-17 Chestnut St,RF,,,2/8/1995,
5032,2101-17 Chestnut St,RF,,,2/8/1995,
5033,2101-17 Chestnut St,RF,,,2/8/1995,
5034,2101-17 Chestnut St,RF,,,2/8/1995,
5035,2101-17 Chestnut St,RF,,,2/8/1995,
5036,2101-17 Chestnut St,RF,,,2/8/1995,
5037,2101-17 Chestnut St,RF,,,2/8/1995,
5038,2101-17 Chestnut St,RF,,,2/8/1995,
5039,2101-17 Chestnut St,RF,,,2/8/1995,
5040,2101-17 Chestnut St,RF,,,2/8/1995,
5041,2101-17 Chestnut St,RF,,,2/8/1995,
5042,2101-17 Chestnut St,RF,,,2/8/1995,
5043,2101-17 Chestnut St,RF,,,2/8/1995,
5044,2101-17 Chestnut St,RF,,,2/8/1995,
5045,2101-17 Chestnut St,RF,,,2/8/1995,
5046,2101-17 Chestnut St,RF,,,2/8/1995,
5047,2101-17 Chestnut St,RF,,,2/8/1995,
5048,2101-17 Chestnut St,RF,,,2/8/1995,
5049,2101-17 Chestnut St,RF,,,2/8/1995,
3626,342 S Smedley St,RF,5/27/1969,,2/8/1995,
3627,212 Catharine St,,5/31/1966,,,
3628,2210 Panama St,RF,,,2/8/1995,
3629,2319 S 21st St,GE,,,11/10/1999,
3630,304 S Front St,SH,,,3/10/1999,
3631,243 E Wister St,,3/2/1972,,,
3632,409 S Croskey St,RF,,,2/8/1995,
3633,1910 Spruce St,RF,,,2/8/1995,
3634,1917 Wallace St,SG,11/6/1975,,10/11/2000,
3635,117 N 21st St,,4/28/1970,,,
3636,1919 Mount Vernon St,SG,11/6/1975,,10/11/2000,
3637,1919 Mount Vernon St,SG,11/6/1975,,10/11/2000,
3638,1919 Mount Vernon St,SG,11/6/1975,,10/11/2000,
3639,1919 Mount Vernon St,SG,11/6/1975,,10/11/2000,
3640,2018-32 Walnut St,RF,,,2/8/1995,
3641,2024 Walnut St,RF,,,2/8/1995,
3642,2026 Walnut St,RF,,,2/8/1995,
3643,2028 Walnut St,RF,,,2/8/1995,
3644,2030 Walnut St,RF,,,2/8/1995,
3645,2032 Walnut St,RF,,,2/8/1995,
3646,2022 Walnut St,RF,,,2/8/1995,
3647,2018-32 Walnut St,RF,,,2/8/1995,
3648,2018-32 Walnut St,RF,,,2/8/1995,
3649,2018-32 Walnut St,RF,,,2/8/1995,
3650,2018-32 Walnut St,RF,,,2/8/1995,
3651,2018-32 Walnut St,RF,,,2/8/1995,
3652,2018-32 Walnut St,RF,,,2/8/1995,
3653,2018-32 Walnut St,RF,,,2/8/1995,
3654,2018-32 Walnut St,RF,,,2/8/1995,
5079,2101-17 Chestnut St,RF,,,2/8/1995,
3655,2018-32 Walnut St,RF,,,2/8/1995,
3656,2018-32 Walnut St,RF,,,2/8/1995,
4092,2018-32 Walnut St,RF,,,2/8/1995,
4093,2018-32 Walnut St,RF,,,2/8/1995,
4094,2018-32 Walnut St,RF,,,2/8/1995,
4095,2018-32 Walnut St,RF,,,2/8/1995,
4096,2018-32 Walnut St,RF,,,2/8/1995,
4097,2018-32 Walnut St,RF,,,2/8/1995,
4098,2018-32 Walnut St,RF,,,2/8/1995,
4099,2018-32 Walnut St,RF,,,2/8/1995,
4100,2018-32 Walnut St,RF,,,2/8/1995,
4101,2018-32 Walnut St,RF,,,2/8/1995,
4102,2018-32 Walnut St,RF,,,2/8/1995,
4103,2018-32 Walnut St,RF,,,2/8/1995,
4104,2018-32 Walnut St,RF,,,2/8/1995,
4105,2018-32 Walnut St,RF,,,2/8/1995,
4106,2018-32 Walnut St,RF,,,2/8/1995,
4107,2018-32 Walnut St,RF,,,2/8/1995,
4108,2018-32 Walnut St,RF,,,2/8/1995,
4109,2018-32 Walnut St,RF,,,2/8/1995,
4110,2018-32 Walnut St,RF,,,2/8/1995,
4111,2018-32 Walnut St,RF,,,2/8/1995,
4112,2018-32 Walnut St,RF,,,2/8/1995,
4113,2018-32 Walnut St,RF,,,2/8/1995,
4114,2018-32 Walnut St,RF,,,2/8/1995,
4115,2018-32 Walnut St,RF,,,2/8/1995,
4116,2018-32 Walnut St,RF,,,2/8/1995,
4117,2018-32 Walnut St,RF,,,2/8/1995,
4118,2018-32 Walnut St,RF,,,2/8/1995,
4119,2018-32 Walnut St,RF,,,2/8/1995,
4120,2018-32 Walnut St,RF,,,2/8/1995,
5050,2101-17 Chestnut St,RF,,,2/8/1995,
5051,2101-17 Chestnut St,RF,,,2/8/1995,
5052,2101-17 Chestnut St,RF,,,2/8/1995,
5053,2101-17 Chestnut St,RF,,,2/8/1995,
5054,2101-17 Chestnut St,RF,,,2/8/1995,
5055,2101-17 Chestnut St,RF,,,2/8/1995,
5056,2101-17 Chestnut St,RF,,,2/8/1995,
5057,2101-17 Chestnut St,RF,,,2/8/1995,
5058,2101-17 Chestnut St,RF,,,2/8/1995,
5059,2101-17 Chestnut St,RF,,,2/8/1995,
5060,2101-17 Chestnut St,RF,,,2/8/1995,
5061,2101-17 Chestnut St,RF,,,2/8/1995,
5062,2101-17 Chestnut St,RF,,,2/8/1995,
5063,2101-17 Chestnut St,RF,,,2/8/1995,
5064,2101-17 Chestnut St,RF,,,2/8/1995,
5065,2101-17 Chestnut St,RF,,,2/8/1995,
5066,2101-17 Chestnut St,RF,,,2/8/1995,
5067,2101-17 Chestnut St,RF,,,2/8/1995,
5068,2101-17 Chestnut St,RF,,,2/8/1995,
5069,2101-17 Chestnut St,RF,,,2/8/1995,
5070,2101-17 Chestnut St,RF,,,2/8/1995,
5071,2101-17 Chestnut St,RF,,,2/8/1995,
5072,2101-17 Chestnut St,RF,,,2/8/1995,
5073,2101-17 Chestnut St,RF,,,2/8/1995,
5074,2101-17 Chestnut St,RF,,,2/8/1995,
5075,2101-17 Chestnut St,RF,,,2/8/1995,
5076,2101-17 Chestnut St,RF,,,2/8/1995,
5077,2101-17 Chestnut St,RF,,,2/8/1995,
5078,2101-17 Chestnut St,RF,,,2/8/1995,
5080,2101-17 Chestnut St,RF,,,2/8/1995,
5081,2101-17 Chestnut St,RF,,,2/8/1995,
5082,2101-17 Chestnut St,RF,,,2/8/1995,
5083,2101-17 Chestnut St,RF,,,2/8/1995,
5084,2101-17 Chestnut St,RF,,,2/8/1995,
5085,2101-17 Chestnut St,RF,,,2/8/1995,
5086,2101-17 Chestnut St,RF,,,2/8/1995,
5087,2101-17 Chestnut St,RF,,,2/8/1995,
5088,2101-17 Chestnut St,RF,,,2/8/1995,
5089,2101-17 Chestnut St,RF,,,2/8/1995,
5090,2101-17 Chestnut St,RF,,,2/8/1995,
5091,2101-17 Chestnut St,RF,,,2/8/1995,
5092,2101-17 Chestnut St,RF,,,2/8/1995,
5093,2101-17 Chestnut St,RF,,,2/8/1995,
5094,2101-17 Chestnut St,RF,,,2/8/1995,
5095,2101-17 Chestnut St,RF,,,2/8/1995,
5096,2101-17 Chestnut St,RF,,,2/8/1995,
5097,2101-17 Chestnut St,RF,,,2/8/1995,
5098,2101-17 Chestnut St,RF,,,2/8/1995,
5099,2101-17 Chestnut St,RF,,,2/8/1995,
5100,2101-17 Chestnut St,RF,,,2/8/1995,
5101,2101-17 Chestnut St,RF,,,2/8/1995,
5102,2101-17 Chestnut St,RF,,,2/8/1995,
5103,2101-17 Chestnut St,RF,,,2/8/1995,
5104,2101-17 Chestnut St,RF,,,2/8/1995,
5105,2101-17 Chestnut St,RF,,,2/8/1995,
5106,2101-17 Chestnut St,RF,,,2/8/1995,
5107,2101-17 Chestnut St,RF,,,2/8/1995,
5108,2101-17 Chestnut St,RF,,,2/8/1995,
5109,2101-17 Chestnut St,RF,,,2/8/1995,
5110,2101-17 Chestnut St,RF,,,2/8/1995,
5111,2101-17 Chestnut St,RF,,,2/8/1995,
5112,2101-17 Chestnut St,RF,,,2/8/1995,
5113,2101-17 Chestnut St,RF,,,2/8/1995,
3657,2018-32 Walnut St,RF,,,2/8/1995,
3658,2018-32 Walnut St,RF,,,2/8/1995,
3659,2018-32 Walnut St,RF,,,2/8/1995,
3660,2018-32 Walnut St,RF,,,2/8/1995,
3661,2018-32 Walnut St,RF,,,2/8/1995,
3662,2018-32 Walnut St,RF,,,2/8/1995,
3663,2018-32 Walnut St,RF,,,2/8/1995,
3664,2018-32 Walnut St,RF,,,2/8/1995,
3665,2018-32 Walnut St,RF,,,2/8/1995,
3666,2018-32 Walnut St,RF,,,2/8/1995,
3667,2018-32 Walnut St,RF,,,2/8/1995,
3668,2018-32 Walnut St,RF,,,2/8/1995,
3669,2018-32 Walnut St,RF,,,2/8/1995,
3670,2018-32 Walnut St,RF,,,2/8/1995,
3671,2018-32 Walnut St,RF,,,2/8/1995,
3672,2018-32 Walnut St,RF,,,2/8/1995,
3673,2018-32 Walnut St,RF,,,2/8/1995,
3674,2018-32 Walnut St,RF,,,2/8/1995,
3675,2018-32 Walnut St,RF,,,2/8/1995,
3676,2018-32 Walnut St,RF,,,2/8/1995,
3677,2018-32 Walnut St,RF,,,2/8/1995,
3678,2018-32 Walnut St,RF,,,2/8/1995,
3679,2018-32 Walnut St,RF,,,2/8/1995,
3680,2018-32 Walnut St,RF,,,2/8/1995,
3681,2018-32 Walnut St,RF,,,2/8/1995,
3682,2018-32 Walnut St,RF,,,2/8/1995,
3683,2018-32 Walnut St,RF,,,2/8/1995,
3684,2018-32 Walnut St,RF,,,2/8/1995,
3685,2018-32 Walnut St,RF,,,2/8/1995,
4121,2018-32 Walnut St,RF,,,2/8/1995,
4122,2018-32 Walnut St,RF,,,2/8/1995,
4123,2018-32 Walnut St,RF,,,2/8/1995,
4124,2018-32 Walnut St,RF,,,2/8/1995,
4125,2018-32 Walnut St,RF,,,2/8/1995,
4126,2018-32 Walnut St,RF,,,2/8/1995,
4127,2018-32 Walnut St,RF,,,2/8/1995,
4128,2018-32 Walnut St,RF,,,2/8/1995,
4129,2018-32 Walnut St,RF,,,2/8/1995,
4130,2018-32 Walnut St,RF,,,2/8/1995,
4131,2018-32 Walnut St,RF,,,2/8/1995,
4132,2018-32 Walnut St,RF,,,2/8/1995,
4133,2018-32 Walnut St,RF,,,2/8/1995,
4134,2018-32 Walnut St,RF,,,2/8/1995,
4135,2018-32 Walnut St,RF,,,2/8/1995,
4136,2018-32 Walnut St,RF,,,2/8/1995,
4137,2018-32 Walnut St,RF,,,2/8/1995,
4138,2018-32 Walnut St,RF,,,2/8/1995,
4139,2018-32 Walnut St,RF,,,2/8/1995,
4140,2018-32 Walnut St,RF,,,2/8/1995,
4141,2018-32 Walnut St,RF,,,2/8/1995,
4142,2018-32 Walnut St,RF,,,2/8/1995,
4143,2018-32 Walnut St,RF,,,2/8/1995,
4144,2018-32 Walnut St,RF,,,2/8/1995,
4145,2018-32 Walnut St,RF,,,2/8/1995,
4146,2018-32 Walnut St,RF,,,2/8/1995,
4147,2018-32 Walnut St,RF,,,2/8/1995,
4148,2018-32 Walnut St,RF,,,2/8/1995,
4149,2018-32 Walnut St,RF,,,2/8/1995,
5114,2101-17 Chestnut St,RF,,,2/8/1995,
5115,2101-17 Chestnut St,RF,,,2/8/1995,
5116,2101-17 Chestnut St,RF,,,2/8/1995,
5117,2101-17 Chestnut St,RF,,,2/8/1995,
5118,631 N 19th St,SG,,,10/11/2000,
5119,2054 N 63rd St,OF,,,1/1/3000,
5120,126 W Queen Ln,,3/29/1966,,,
5121,115 League St,,6/24/1958,,,
5122,2400 S 21st St,GE,,,11/10/1999,
5123,2218 St James Pl,RF,9/30/1969,,2/8/1995,
5124,920 Winter St,,4/25/1974,,,
5125,1531 North St,SG,,,10/11/2000,
5126,407 S Croskey St,RF,,,2/8/1995,
5127,319 N Lawrence St,OC,,,12/12/2003,
5128,508 Pine St,SH,,,3/10/1999,
5129,2030 Spruce St,RF,,,2/8/1995,
5130,6324 Overbrook Ave,OF,,,1/1/3000,
5131,2507 S Garnet St,GE,,,11/10/1999,
5132,2525 S Lambert St,GE,,,11/10/1999,
5133,1518 Pine St,RF,9/28/1971,,2/8/1995,
5134,400-14 Walnut St,SH,,,3/10/1999,
5135,421 S 3rd St,SH,,,3/10/1999,
5136,3449 Midvale Ave,TEF,,,10/9/2009,
5137,2403 Panama St,RF,,,2/8/1995,
5138,1828 Pine St,RF,,,2/8/1995,
5139,309-17 S 4th St,SH,4/30/1957,,3/10/1999,
5140,6398 Woodbine Ave,OF,,,1/1/3000,
5141,5215-31 Schuyler St,,8/6/1981,,,
5142,731 Spruce St,SH,6/24/1969,,3/10/1999,
5143,2404 Pine St,RF,,,2/8/1995,
5144,2024 Locust St,RF,4/8/1984,,2/8/1995,
5145,919 S 6th St,,,,,
5146,4425 Main St,MAN,,,12/14/1983,
3183,2438 Poplar St,,1/5/1984,,,
3184,2103 Green St,SG,5/1/1975,,10/11/2000,
3185,2103 Green St,SG,5/1/1975,,10/11/2000,
3186,2103 Green St,SG,5/1/1975,,10/11/2000,
3187,2103 Green St,SG,5/1/1975,,10/11/2000,
3188,1831 Diamond St,DS,,,1/29/1986,
3189,308 Gaskill St,SH,1/22/1963,,3/10/1999,
3190,227R Fitzwater St,,5/31/1966,,,
3191,1721 Porter St,GE,,,11/10/1999,
3192,255 S 7th St,SH,,,3/10/1999,
3193,6092 Drexel Rd,OF,,,1/1/3000,
3194,1726 Mount Vernon St,SG,,,10/11/2000,
3195,6412 Germantown Ave,,4/6/1972,,,
3196,6369 Woodbine Ave,OF,,,1/1/3000,
3197,126 Maplewood Ave,,3/29/1966,,,
3198,1508 Mount Vernon St,SG,,,10/11/2000,
3199,1508 Mount Vernon St,SG,,,10/11/2000,
3200,1508 Mount Vernon St,SG,,,10/11/2000,
3201,1217 N 4th St,,8/7/1980,,,
3202,2214 Brandywine St,SG,12/5/1974,,10/11/2000,
3203,2137-39 Green St,SG,,,10/11/2000,
3204,2137-39 Green St,SG,,,10/11/2000,
3205,2137-39 Green St,SG,,,10/11/2000,
