objectid,loc,district,idesigdate1,idesigdate2,ddesigdate,intdesigdate
96,3 N Chris Columbus Blvd,OC,,,12/12/2003,
97,3 N Chris Columbus Blvd,OC,,,12/12/2003,
98,3 N Chris Columbus Blvd,OC,,,12/12/2003,
99,3 N Chris Columbus Blvd,OC,,,12/12/2003,
100,3 N Chris Columbus Blvd,OC,,,12/12/2003,
101,3 N Chris Columbus Blvd,OC,,,12/12/2003,
102,3 N Chris Columbus Blvd,OC,,,12/12/2003,
103,3 N Chris Columbus Blvd,OC,,,12/12/2003,
104,3 N Chris Columbus Blvd,OC,,,12/12/2003,
105,3 N Chris Columbus Blvd,OC,,,12/12/2003,
106,3 N Chris Columbus Blvd,OC,,,12/12/2003,
107,3 N Chris Columbus Blvd,OC,,,12/12/2003,
108,3 N Chris Columbus Blvd,OC,,,12/12/2003,
109,3 N Chris Columbus Blvd,OC,,,12/12/2003,
110,3 N Chris Columbus Blvd,OC,,,12/12/2003,
111,3 N Chris Columbus Blvd,OC,,,12/12/2003,
112,3 N Chris Columbus Blvd,OC,,,12/12/2003,
113,3 N Chris Columbus Blvd,OC,,,12/12/2003,
114,3 N Chris Columbus Blvd,OC,,,12/12/2003,
219,3 N Chris Columbus Blvd,OC,,,12/12/2003,
220,3 N Chris Columbus Blvd,OC,,,12/12/2003,
221,3 N Chris Columbus Blvd,OC,,,12/12/2003,
276,6 St James Ct,SH,,,3/10/1999,
222,3 N Chris Columbus Blvd,OC,,,12/12/2003,
223,3 N Chris Columbus Blvd,OC,,,12/12/2003,
224,3 N Chris Columbus Blvd,OC,,,12/12/2003,
225,3 N Chris Columbus Blvd,OC,,,12/12/2003,
226,3 N Chris Columbus Blvd,OC,,,12/12/2003,
227,3 N Chris Columbus Blvd,OC,,,12/12/2003,
228,3 N Chris Columbus Blvd,OC,,,12/12/2003,
229,3 N Chris Columbus Blvd,OC,,,12/12/2003,
230,3 N Chris Columbus Blvd,OC,,,12/12/2003,
231,3 N Chris Columbus Blvd,OC,,,12/12/2003,
232,3 N Chris Columbus Blvd,OC,,,12/12/2003,
233,3 N Chris Columbus Blvd,OC,,,12/12/2003,
234,3 N Chris Columbus Blvd,OC,,,12/12/2003,
235,3 N Chris Columbus Blvd,OC,,,12/12/2003,
236,3 N Chris Columbus Blvd,OC,,,12/12/2003,
237,3 N Chris Columbus Blvd,OC,,,12/12/2003,
238,3 N Chris Columbus Blvd,OC,,,12/12/2003,
239,3 N Chris Columbus Blvd,OC,,,12/12/2003,
240,3 N Chris Columbus Blvd,OC,,,12/12/2003,
241,3 N Chris Columbus Blvd,OC,,,12/12/2003,
242,3 N Chris Columbus Blvd,OC,,,12/12/2003,
277,7 St James Ct,SH,,,3/10/1999,
243,3 N Chris Columbus Blvd,OC,,,12/12/2003,
244,3 N Chris Columbus Blvd,OC,,,12/12/2003,
325,233 S 6th St,SH,,,3/10/1999,
326,233 S 6th St,SH,,,3/10/1999,
327,233 S 6th St,SH,,,3/10/1999,
328,233 S 6th St,SH,,,3/10/1999,
329,233 S 6th St,SH,,,3/10/1999,
330,233 S 6th St,SH,,,3/10/1999,
331,233 S 6th St,SH,,,3/10/1999,
332,233 S 6th St,SH,,,3/10/1999,
333,233 S 6th St,SH,,,3/10/1999,
334,233 S 6th St,SH,,,3/10/1999,
335,233 S 6th St,SH,,,3/10/1999,
2066,1228 Waverly St,,11/28/1961,,,
336,233 S 6th St,SH,,,3/10/1999,
337,233 S 6th St,SH,,,3/10/1999,
338,233 S 6th St,SH,,,3/10/1999,
339,233 S 6th St,SH,,,3/10/1999,
340,233 S 6th St,SH,,,3/10/1999,
341,233 S 6th St,SH,,,3/10/1999,
342,233 S 6th St,SH,,,3/10/1999,
343,233 S 6th St,SH,,,3/10/1999,
344,233 S 6th St,SH,,,3/10/1999,
345,233 S 6th St,SH,,,3/10/1999,
245,3 N Chris Columbus Blvd,OC,,,12/12/2003,
246,3 N Chris Columbus Blvd,OC,,,12/12/2003,
247,3 N Chris Columbus Blvd,OC,,,12/12/2003,
248,3 N Chris Columbus Blvd,OC,,,12/12/2003,
249,3 N Chris Columbus Blvd,OC,,,12/12/2003,
250,3 N Chris Columbus Blvd,OC,,,12/12/2003,
251,3 N Chris Columbus Blvd,OC,,,12/12/2003,
252,3 N Chris Columbus Blvd,OC,,,12/12/2003,
253,3 N Chris Columbus Blvd,OC,,,12/12/2003,
254,3 St James Ct,SH,,,3/10/1999,
255,4 St James Ct,SH,,,3/10/1999,
256,43 St James Ct,SH,,,3/10/1999,
257,44 St James Ct,SH,,,3/10/1999,
258,1 St James Ct,SH,,,3/10/1999,
259,2 St James Ct,SH,,,3/10/1999,
260,42 St James Ct,SH,,,3/10/1999,
261,27 St James Ct,SH,,,3/10/1999,
262,28 St James Ct,SH,,,3/10/1999,
263,29 St James Ct,SH,,,3/10/1999,
264,30 St James Ct,SH,,,3/10/1999,
265,31 St James Ct,SH,,,3/10/1999,
266,32 St James Ct,SH,,,3/10/1999,
267,33 St James Ct,SH,,,3/10/1999,
268,34 St James Ct,SH,,,3/10/1999,
